candidate,auc,delta_auc_vs_champ,P_auc_improves,logloss_beta,delta_logloss_vs_champ,P_logloss_improves,ece10_beta,P_ece_worsens,test_coverage
flash_csstats_pair,0.73204,0.00139,0.968,0.59402,0.00104,0.975,0.01734,0.398,0.066
flash_all_research_selected,0.73137,0.00072,0.744,0.59426,0.0008,0.839,0.01766,0.395,0.063
flash_assists,0.73141,0.00076,0.855,0.59447,0.0006,0.885,0.01749,0.416,0.069
csstats_pair,0.7314,0.00075,1.0,0.59449,0.00057,1.0,0.018,0.523,0.07
flash_roi,0.73137,0.00072,0.847,0.59456,0.0005,0.849,0.01709,0.412,0.613
flash_assists_roster_safe,0.7312,0.00055,0.723,0.59459,0.00047,0.781,0.01839,0.535,0.066
csstats_rating30d_only,0.73128,0.00063,1.0,0.59461,0.00046,1.0,0.01854,0.694,0.07
flash_roster_history_counts,0.73083,0.00018,0.551,0.59464,0.00042,0.703,0.01505,0.335,0.613
flash_roster_calibration_safe,0.73114,0.00049,0.704,0.59468,0.00038,0.729,0.01884,0.539,0.549
csstats_assists_only,0.73075,0.0001,0.818,0.59497,9e-05,0.879,0.01753,0.3,0.073
roster_history_counts,0.73023,-0.00043,0.283,0.59512,-5e-05,0.461,0.01632,0.349,0.659
roster_calibration_safe,0.73053,-0.00012,0.394,0.59517,-0.00011,0.383,0.01716,0.339,0.556
